# {'pix_x': 128, 'pix_y': 128, 'pix_size': 190.0002850004275, 'r_peak': 3, 'r_bg1': 4, 'r_bg2': 6, 'min_dist': 6, 'binning': 1}
id,x [nm],y [nm],sigma [nm],intensity [photon],center_pix,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168
1,1323.97331,10382.87677,137.91881,1390.67689,6918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6276,6277,6278,6279,6280,6281,0,0,0,0,0,0,6403,6404,6405,6406,6407,6408,6409,6410,0,0,0,0,6530,6531,0,0,0,0,0,6537,6538,6539,0,0,6657,6658,6659,0,0,0,0,0,0,6666,6667,6668,0,6785,6786,0,0,0,0,0,0,0,0,6795,6796,0,6913,6914,0,0,0,0,0,0,0,0,6923,6924,0,7041,7042,0,0,0,0,0,0,0,0,7051,7052,0,7169,7170,0,0,0,0,0,0,0,0,7179,7180,0,0,7298,7299,0,0,0,0,0,0,7306,7307,0,0,0,7426,7427,7428,7429,0,0,7432,7433,7434,7435,0,0,0,0,7555,7556,7557,7558,7559,7560,7561,0,0,0,0,0,0,0,0,0,7686,7687,0,0,0,0,0
2,2973.21481,7682.14994,138.17243,694.57592,5135,0,0,0,0,0,0,4367,4368,0,0,0,0,0,0,0,0,4492,4493,4494,4495,4496,4497,4498,0,0,0,0,0,4619,4620,4621,4622,0,4624,4625,4626,4627,0,0,0,4746,4747,4748,0,0,0,0,0,4754,4755,4756,0,0,4874,4875,0,0,0,0,0,0,0,4883,4884,0,0,5002,5003,0,0,0,0,0,0,0,0,5012,5013,0,5130,5131,0,0,0,0,0,0,0,0,5140,5141,0,5258,5259,0,0,0,0,0,0,0,0,5268,5269,0,5386,5387,0,0,0,0,0,0,0,5395,5396,0,0,5514,5515,5516,0,0,0,0,0,5522,5523,5524,0,0,0,5643,5644,5645,5646,5647,5648,5649,5650,5651,0,0,0,0,0,5772,5773,5774,5775,5776,5777,5778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3123.68611,17095.399390000002,138.20926,1257.29196,11408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10766,10767,10768,10769,10770,0,0,0,0,0,0,10892,10893,10894,10895,10896,10897,10898,10899,0,0,0,0,0,11020,11021,0,0,0,0,11026,11027,11028,0,0,0,11147,11148,0,0,0,0,0,0,0,11156,11157,0,0,11275,11276,0,0,0,0,0,0,0,11284,11285,0,11402,11403,0,0,0,0,0,0,0,0,11412,11413,0,11530,11531,0,0,0,0,0,0,0,0,11540,11541,0,0,11659,11660,0,0,0,0,0,0,0,11668,11669,0,0,11787,11788,0,0,0,0,0,0,0,11796,11797,0,0,0,11916,11917,11918,0,0,0,11922,11923,11924,0,0,0,0,12044,12045,12046,12047,12048,12049,12050,12051,0,0,0,0,0,0,0,12174,12175,12176,12177,12178,0,0,0,0
4,3074.09828,22629.48721,134.92371,1555.16189,15248,0,0,0,0,14478,14479,14480,14481,0,0,0,0,0,0,0,14604,14605,14606,14607,14608,14609,14610,14611,0,0,0,0,14731,14732,14733,0,0,0,0,14738,14739,14740,0,0,0,14859,14860,0,0,0,0,0,0,14867,14868,14869,0,14986,14987,14988,0,0,0,0,0,0,0,14996,14997,0,15114,15115,0,0,0,0,0,0,0,0,15124,15125,0,15242,15243,0,0,0,0,0,0,0,0,15252,15253,0,15370,15371,0,0,0,0,0,0,0,0,15380,15381,0,0,15499,15500,0,0,0,0,0,0,15507,15508,15509,0,0,15627,15628,15629,0,0,0,0,15634,15635,15636,0,0,0,0,15756,15757,15758,15759,15760,15761,15762,15763,0,0,0,0,0,0,0,15886,15887,15888,15889,15890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4014.61271,10108.24932,134.1989,1186.5715699999996,6805,0,0,0,0,6035,6036,6037,6038,0,0,0,0,0,0,0,6161,6162,6163,6164,6165,6166,6167,6168,0,0,0,0,6288,6289,6290,6291,0,0,0,6295,6296,6297,0,0,0,6416,6417,0,0,0,0,0,0,6424,6425,0,0,6543,6544,6545,0,0,0,0,0,0,0,6553,6554,0,6671,6672,0,0,0,0,0,0,0,0,6681,6682,0,6799,6800,0,0,0,0,0,0,0,0,6809,6810,0,6927,6928,0,0,0,0,0,0,0,0,6937,6938,0,0,7056,7057,0,0,0,0,0,0,7064,7065,7066,0,0,7184,7185,7186,0,0,0,0,7191,7192,7193,0,0,0,0,7313,7314,7315,7316,7317,7318,7319,7320,0,0,0,0,0,0,7442,7443,7444,7445,7446,7447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5736.30663,20352.34091,136.6263,1599.59023,13726,0,0,0,0,12956,12957,12958,12959,0,0,0,0,0,0,0,13082,13083,13084,13085,13086,13087,13088,13089,0,0,0,0,13209,13210,13211,0,0,0,0,13216,13217,13218,0,0,0,13337,13338,0,0,0,0,0,0,13345,13346,13347,0,13464,13465,13466,0,0,0,0,0,0,0,13474,13475,0,13592,13593,0,0,0,0,0,0,0,0,13602,13603,0,13720,13721,0,0,0,0,0,0,0,0,13730,13731,0,13848,13849,0,0,0,0,0,0,0,0,13858,13859,0,0,13977,13978,0,0,0,0,0,0,13985,13986,13987,0,0,14105,14106,14107,0,0,0,0,14112,14113,14114,0,0,0,0,14234,14235,14236,14237,14238,14239,14240,14241,0,0,0,0,0,0,0,14364,14365,14366,14367,14368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6761.764340000002,2872.1628600000013,135.38266000000002,2012.97064,1955,0,0,0,0,1185,1186,1187,1188,1189,0,0,0,0,0,0,0,1312,1313,1314,1315,1316,1317,1318,0,0,0,0,0,1439,1440,1441,0,0,0,1445,1446,1447,0,0,0,1566,1567,1568,0,0,0,0,0,0,1575,1576,0,0,1694,1695,0,0,0,0,0,0,0,1703,1704,0,0,1822,1823,0,0,0,0,0,0,0,0,1832,1833,0,1950,1951,0,0,0,0,0,0,0,0,1960,1961,0,2078,2079,0,0,0,0,0,0,0,2087,2088,0,0,2206,2207,0,0,0,0,0,0,0,2215,2216,0,0,0,2335,2336,0,0,0,0,0,2342,2343,2344,0,0,0,2463,2464,2465,2466,2467,2468,2469,2470,2471,0,0,0,0,0,0,2593,2594,2595,2596,2597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8899.2271,10143.28871,136.33773,1814.56561,6830,0,0,0,0,0,0,6062,6063,0,0,0,0,0,0,0,0,6187,6188,6189,6190,6191,6192,6193,0,0,0,0,0,6314,6315,6316,6317,0,0,6320,6321,6322,0,0,0,0,6442,6443,0,0,0,0,0,0,6450,6451,0,0,6569,6570,0,0,0,0,0,0,0,6578,6579,6580,0,6697,6698,0,0,0,0,0,0,0,0,6707,6708,0,6825,6826,0,0,0,0,0,0,0,0,6835,6836,0,6953,6954,0,0,0,0,0,0,0,0,6963,6964,0,7081,7082,0,0,0,0,0,0,0,7090,7091,0,0,0,7210,7211,0,0,0,0,0,7217,7218,7219,0,0,0,7338,7339,7340,7341,7342,7343,7344,7345,7346,0,0,0,0,0,0,7468,7469,7470,7471,7472,7473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,8892.58007,13368.60707,139.60391,3044.36777,9006,0,0,0,0,0,0,8238,8239,0,0,0,0,0,0,0,0,8363,8364,8365,8366,8367,8368,8369,0,0,0,0,0,8490,8491,8492,8493,0,0,8496,8497,8498,0,0,0,0,8618,8619,0,0,0,0,0,0,8626,8627,0,0,8745,8746,0,0,0,0,0,0,0,8754,8755,8756,0,8873,8874,0,0,0,0,0,0,0,0,8883,8884,0,9001,9002,0,0,0,0,0,0,0,0,9011,9012,0,9129,9130,0,0,0,0,0,0,0,0,9139,9140,0,9257,9258,0,0,0,0,0,0,0,9266,9267,0,0,0,9386,9387,0,0,0,0,0,9393,9394,9395,0,0,0,9514,9515,9516,9517,9518,9519,9520,9521,9522,0,0,0,0,0,0,9644,9645,9646,9647,9648,9649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,13809.45294,20317.76828,138.21528999999998,2234.53328,13640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12998,12999,13000,13001,13002,0,0,0,0,0,0,0,13125,13126,13127,13128,13129,13130,13131,13132,0,0,0,0,13252,13253,13254,0,0,0,0,13259,13260,13261,0,0,13379,13380,13381,0,0,0,0,0,0,13388,13389,0,0,13507,13508,0,0,0,0,0,0,0,13516,13517,13518,0,13635,13636,0,0,0,0,0,0,0,0,13645,13646,0,13763,13764,0,0,0,0,0,0,0,0,13773,13774,0,13891,13892,0,0,0,0,0,0,0,13900,13901,0,0,14019,14020,14021,0,0,0,0,0,0,14028,14029,0,0,0,14148,14149,14150,0,0,0,14154,14155,14156,14157,0,0,0,0,14277,14278,14279,14280,14281,14282,14283,14284,0,0,0,0,0,0,14406,14407,14408,14409,14410,0,0,0,0
13,14098.60531,5697.5199200000025,134.10103999999998,1577.01711,3786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3144,3145,3146,3147,3148,0,0,0,0,0,0,3270,3271,3272,3273,3274,3275,3276,3277,0,0,0,0,3397,3398,3399,0,0,0,0,3404,3405,3406,0,0,0,3525,3526,0,0,0,0,0,0,3533,3534,3535,0,3652,3653,0,0,0,0,0,0,0,0,3662,0,0,3780,3781,0,0,0,0,0,0,0,0,3790,0,0,3908,3909,0,0,0,0,0,0,0,0,3918,0,0,4036,4037,4038,0,0,0,0,0,0,0,4046,0,0,0,4165,4166,0,0,0,0,0,0,4173,4174,4175,0,0,4293,4294,4295,0,0,0,0,4300,4301,4302,0,0,0,0,4422,4423,4424,4425,4426,4427,4428,4429,0,0,0,0,0,0,0,4552,4553,4554,4555,4556,0,0,0,0
15,15729.96505,5661.45797,136.60336999999998,1200.20015,3794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3152,3153,3154,3155,3156,3157,0,0,0,0,0,0,3279,3280,3281,3282,3283,3284,3285,3286,0,0,0,0,3406,3407,3408,0,0,0,0,3413,3414,3415,0,0,3533,3534,3535,0,0,0,0,0,0,3542,3543,0,0,0,3662,0,0,0,0,0,0,0,0,3671,3672,0,0,3790,0,0,0,0,0,0,0,0,3799,3800,0,0,3918,0,0,0,0,0,0,0,0,3927,3928,0,0,4046,0,0,0,0,0,0,0,4054,4055,4056,0,4173,4174,4175,0,0,0,0,0,0,4182,4183,0,0,0,4302,4303,4304,0,0,0,4308,4309,4310,4311,0,0,0,0,4431,4432,4433,4434,4435,4436,4437,4438,0,0,0,0,0,0,0,4561,4562,4563,4564,0,0,0,0
16,15938.64131,8944.67642,132.95668,444.62258,6099,0,0,0,0,0,5330,5331,5332,5333,0,0,0,0,0,0,0,5456,5457,5458,5459,5460,5461,5462,5463,0,0,0,0,5583,5584,5585,0,0,0,0,5590,5591,5592,0,0,5710,5711,5712,0,0,0,0,0,0,5719,5720,0,0,5838,5839,0,0,0,0,0,0,0,0,5848,5849,0,5966,5967,0,0,0,0,0,0,0,0,5976,5977,0,6094,6095,0,0,0,0,0,0,0,0,6104,6105,0,6222,6223,0,0,0,0,0,0,0,0,6232,6233,0,6350,6351,6352,0,0,0,0,0,0,6359,6360,0,0,0,6479,6480,6481,0,0,0,0,6486,6487,6488,0,0,0,0,6608,6609,6610,6611,6612,6613,6614,6615,0,0,0,0,0,0,6737,6738,6739,6740,6741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,16102.45755,18795.80295,136.36547,1171.94971,12628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11986,11987,11988,11989,11990,0,0,0,0,0,0,0,12113,12114,12115,12116,12117,12118,12119,12120,0,0,0,0,12240,12241,12242,0,0,0,0,12247,12248,12249,0,0,12367,12368,12369,0,0,0,0,0,0,12376,12377,0,0,12495,12496,0,0,0,0,0,0,0,12504,12505,12506,0,12623,12624,0,0,0,0,0,0,0,0,12633,12634,0,12751,12752,0,0,0,0,0,0,0,0,12761,12762,0,12879,12880,0,0,0,0,0,0,0,12888,12889,12890,0,13007,13008,13009,0,0,0,0,0,0,13016,13017,0,0,0,13136,13137,13138,0,0,0,0,13143,13144,13145,0,0,0,0,13265,13266,13267,13268,13269,13270,13271,13272,0,0,0,0,0,0,0,13395,13396,13397,13398,0,0,0,0
18,16572.13262,15979.084680000002,135.44043,1580.85693,10839,0,0,0,0,10069,10070,10071,10072,0,0,0,0,0,0,0,10195,10196,10197,10198,10199,10200,10201,10202,0,0,0,0,10322,10323,10324,0,0,0,0,10329,10330,10331,0,0,0,10450,10451,0,0,0,0,0,0,10458,10459,10460,0,10577,10578,10579,0,0,0,0,0,0,0,10587,10588,0,10705,10706,0,0,0,0,0,0,0,0,10715,10716,0,10833,10834,0,0,0,0,0,0,0,0,10843,10844,0,10961,10962,0,0,0,0,0,0,0,0,10971,10972,0,0,11090,11091,0,0,0,0,0,0,11098,11099,11100,0,0,11218,11219,11220,0,0,0,0,11225,11226,11227,0,0,0,0,11347,11348,11349,11350,11351,11352,11353,11354,0,0,0,0,0,0,0,11477,11478,11479,11480,11481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,22571.9554,5823.191010000001,135.07076999999998,1019.86352,3958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3316,3317,3318,3319,3320,3321,0,0,0,0,0,3442,3443,3444,3445,3446,3447,3448,3449,3450,0,0,0,0,3570,3571,0,0,0,0,0,3577,3578,3579,0,0,3697,3698,0,0,0,0,0,0,0,3706,3707,0,0,3825,3826,0,0,0,0,0,0,0,0,3835,3836,0,3953,3954,0,0,0,0,0,0,0,0,3963,3964,0,4081,4082,0,0,0,0,0,0,0,0,4091,4092,0,4209,4210,0,0,0,0,0,0,0,4218,4219,4220,0,0,4338,4339,0,0,0,0,0,0,4346,4347,0,0,0,4466,4467,4468,4469,0,0,4472,4473,4474,0,0,0,0,0,4595,4596,4597,4598,4599,4600,4601,0,0,0,0,0,0,0,0,4725,4726,4727,0,0,0,0,0
22,22916.25172,14796.59481,137.81224,1607.63274,9976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9334,9335,9336,9337,9338,0,0,0,0,0,0,0,9461,9462,9463,9464,9465,9466,9467,9468,0,0,0,0,9588,9589,0,0,0,0,0,9595,9596,9597,0,0,9715,9716,0,0,0,0,0,0,0,9724,9725,0,0,9843,9844,0,0,0,0,0,0,0,9852,9853,0,0,9971,9972,0,0,0,0,0,0,0,0,9981,9982,0,10099,10100,0,0,0,0,0,0,0,0,10109,10110,0,10227,10228,0,0,0,0,0,0,0,10236,10237,0,0,10355,10356,10357,0,0,0,0,0,0,10364,10365,0,0,0,10484,10485,10486,0,0,0,10490,10491,10492,0,0,0,0,0,10613,10614,10615,10616,10617,10618,10619,0,0,0,0,0,0,0,0,10743,10744,10745,10746,0,0,0,0
